X,Y,OBJECTID,StationName,WXID,ObservedDate,NESSID,NWSID,Elevation,SiteDescription,Latitude,Longitude,State,County,Agency,Region,Unit,SubUnit,Status,RainAccumulation,WindSpeedMPH,WindDirDegrees,AirTempStandPlace,FuelTemp,RelativeHumidity,BatteryVoltage,FuelMoisture,WindDirPeak,WindSpeedPeak,SolarRadiation,StationID
-119.61131,37.7300300000001,12,YNP PORTABLE,18053678,2023/07/24 20:02:04+00,32D3E21C,,3633,,37.73003,-119.61131,CA,Mariposa,NPS,PACIFIC WEST,YOSEMITE NP,,A,1.7 inches,4 mph,207 degrees ,92 deg. F,111 deg. F ,29 % ,13.1 volts,7.2 (unk),218 degrees,9 mph,780 w/m2,18053677
-89.79556,30.6619400000001,15,BOGUE CHITTO,18770453,2023/07/24 17:12:44+00,32B108FA,227701,126,,30.66194,-89.79556,MS,Pearl River,FWS,REGION 4,BIG BRANCH NWR,SE La Refuges Comple,A,30.49 inches,1 mph,64 degrees ,90 deg. F,105 deg. F ,43 % ,12.3 volts,9 (unk),51 degrees,5 mph,756 w/m2,18770452
-104.7195,44.5817900000001,43,DEVILS TOWER,17137191,2023/07/24 17:23:04+00,FA64F588,480606,3872,Devils Tower residence area,44.58179,-104.7195,WY,Crook,NPS,MIDWEST,DEVILS TOWER NM,NORTHERN GREAT PLAIN,A,15.48 inches,3 mph,222 degrees ,93 deg. F,100 deg. F ,30 % ,13.3 volts,9.1 (unk),247 degrees,7 mph,734 w/m2,17137190
-122.94511,39.80742,49,MENDOCINO PASS,17209645,2023/07/24 20:04:34+00,32715230,041018,5382,"SITE IS JUST NORTH OF MENDOCINO PASS. AREA IS IN A SMALL
CLEARING WITH THE MAST JUST ABOVE THE TREES.  STATION SITS
ON A SOUTH SLOPE 50 YDS OF 2 TRACK.",39.80742,-122.94511,CA,Mendocino,USFS,05,MENDOCINO NF,COVELO RD,A,19.83 inches,10 mph,271 degrees ,70 deg. F,84 deg. F ,37 % ,14.1 volts,6.8 (unk),279 degrees,13 mph,991 w/m2,17209642
-111.09911,44.6659700000001,59,HEBGEN LAKE,17036072,2023/07/24 18:39:33+00,323FC0E6,244603,6700,"site is surrounded by lodgepole pine,vegitation is sparsegrass with barren sandy soil",44.66597,-111.09911,MT,Gallatin,USFS,01,Custer Gallatin NF,HEBGAN LAKE RD,A,14.78 inches,2 mph,264 degrees ,81 deg. F,NO DATA,36 % ,13.3 volts,NO DATA,333 degrees,6 mph,727 w/m2,17036069
-121.1977,44.9254800000001,90,MUTTON MOUNTAIN,16781365,2023/07/24 18:34:34+00,5211B19E,350917,4011,"SITE IS SITUATED IN A SMALL CLEARING WITHIN THE MUTTON MTN
RANGE OVERLOOKING A VALLEY TO THE SW. MUTTON MTN IS 2 MILES
TO THE W. MUTTON MTN SPRING IS 4 MILES TO THE NE. SHANIKO
BUTTE IS 4 MILES TO THE N. VEGETATION IS PINE W/SMALL SHRUBS
AREA BIA FREQS = S-172.425, R-171.775, CODE-4321",44.92548,-121.1977,OR,Wasco,BIA,Northwest,Warm Springs Agency,,A,5.25 inches,6 mph,292 degrees ,71 deg. F,NO DATA,28 % ,13.4 volts,NO DATA,217 degrees,14 mph,939 w/m2,16781363
-152.13611,69.3700000000001,109,UMIAT AIRFIELD,17475619,2023/07/24 18:23:54+00,326B17F6,500104,267,,69.37,-152.13611,AK,North Slope,BLM,R11 Alaska,ALASKA FIRE SERVICE,,A,6.67 inches,4 mph,89 degrees ,66 deg. F,NO DATA,71 % ,14.1 volts,NO DATA,96 degrees,6 mph,404 w/m2,17475619
-112.23886,38.9792400000001,124,BLACK CEDAR,16945201,2023/07/24 18:27:03+00,323517DC,421805,6493,"SITE LOCATED ON SSW SLOPE WITH JUNIPER,PINION PINE,GRASSAND SAGE. IS APPROX 3000' FROM MTN. TOP. MTNS. TO THE S ANDN 2-3 MILES.FIRE WEATHER FORECAST ZONE: 432",38.97924,-112.23886,UT,Millard,USFS,04,FISHLAKE NF,,A,16.45 inches,3 mph,282 degrees ,87 deg. F,96 deg. F ,25 % ,13.2 volts,4.4 (unk),239 degrees,11 mph,684 w/m2,16945200
-76.617,40.4590000000001,135,INDIANTOWN RUN,19103243,2023/07/24 17:13:44+00,32A0FD1A,,710,,40.459,-76.617,PA,Lebanon,S&PF,PENNSYLVANIA,,,A,24.58 inches,5 mph,194 degrees ,80 deg. F,92 deg. F ,68 % ,13.8 volts,13.4 (unk),142 degrees,11 mph,744 w/m2,19103243
-116.1882,44.9429000000001,139,SKI HILL,16945975,2023/07/24 19:58:44+00,325E554C,101223,5297,FIRE WEATHER FORECAST ZONE:  401,44.9429,-116.1882,ID,Valley,USFS,04,PAYETTE NF,McCALL,A,18.53 inches,4 mph,234 degrees ,79 deg. F,82 deg. F ,20 % ,13.5 volts,5.6 (unk),228 degrees,10 mph,174 w/m2,16945974
