,STATUS,MNET_ID,ELEVATION,NAME,STID,ELEV_DEM,LONGITUDE,STATE,RESTRICTED,QC_FLAGGED,LATITUDE,TIMEZONE,ID,PERIOD_OF_RECORD.start,PERIOD_OF_RECORD.end,SENSOR_VARIABLES.dew_point_temperature.dew_point_temperature_set_1d.derived_from,SENSOR_VARIABLES.sea_level_pressure.sea_level_pressure_set_1d.derived_from,UNITS.position,UNITS.elevation,OBSERVATIONS.date_time,OBSERVATIONS.dew_point_temperature_set_1,OBSERVATIONS.dew_point_temperature_set_1d,OBSERVATIONS.sea_level_pressure_set_1,OBSERVATIONS.relative_humidity_set_1,OBSERVATIONS.sea_level_pressure_set_1d,OBSERVATIONS.air_temp_set_1,OBSERVATIONS.precip_accum_set_1,OBSERVATIONS.soil_temp_set_1,OBSERVATIONS.soil_temp_set_4,OBSERVATIONS.soil_temp_set_2,OBSERVATIONS.soil_temp_set_3,OBSERVATIONS.air_temp_set_2,OBSERVATIONS.soil_temp_set_5,OBSERVATIONS.soil_temp_set_7,OBSERVATIONS.soil_temp_set_10,OBSERVATIONS.soil_temp_set_9,OBSERVATIONS.soil_temp_set_8,OBSERVATIONS.soil_temp_set_6
0,ACTIVE,1,4383,Alturas,KAAT,4379.9,-120.56150,CA,False,False,41.48362,America/Los_Angeles,82,1999-12-20T00:00:00Z,2023-08-12T20:30:00Z,"['air_temp_set_1', 'relative_humidity_set_1']","['pressure_set_1d', 'air_temp_set_1', 'relative_humidity_set_1']",ft,ft,"['2023-08-12T12:50:00Z', '2023-08-12T12:55:00Z', '2023-08-12T13:00:00Z', '2023-08-12T13:05:00Z', '2023-08-12T13:10:00Z', '2023-08-12T13:15:00Z', '2023-08-12T13:20:00Z', '2023-08-12T13:25:00Z', '2023-08-12T13:30:00Z', '2023-08-12T13:35:00Z', '2023-08-12T13:40:00Z', '2023-08-12T13:45:00Z']","[None, 6.1, None, None, None, None, None, None, None, None, None, None]","[5.94, 5.94, 5.94, 5.94, 5.94, 5.94, 5.94, 5.94, 5.94, None, 5.94, 5.94]","[None, 1017.7, None, None, None, None, None, None, None, None, None, None]","[66.71, 66.71, 66.71, 66.71, 66.71, 66.71, 66.71, 66.71, 66.71, None, 66.71, 66.71]","[1019.01, 1018.67, 1019.01, 1019.01, 1018.67, 1018.67, 1019.01, 1019.01, 1019.01, None, 1019.01, 1019.35]","[12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, None, 12.0, 12.0]",,,,,,,,,,,,
1,ACTIVE,1,217,"Arcata / Eureka, Arcata Airport",KACV,180.4,-124.10861,CA,False,False,40.97806,America/Los_Angeles,84,1997-04-12T00:00:00Z,2023-08-12T20:30:00Z,"['air_temp_set_1', 'relative_humidity_set_1']","['pressure_set_1d', 'air_temp_set_1', 'relative_humidity_set_1']",ft,ft,"['2023-08-12T12:50:00Z', '2023-08-12T12:53:00Z', '2023-08-12T12:55:00Z', '2023-08-12T13:00:00Z', '2023-08-12T13:05:00Z', '2023-08-12T13:10:00Z', '2023-08-12T13:15:00Z', '2023-08-12T13:20:00Z', '2023-08-12T13:25:00Z', '2023-08-12T13:30:00Z', '2023-08-12T13:35:00Z', '2023-08-12T13:40:00Z', '2023-08-12T13:45:00Z']","[None, 11.1, None, None, None, None, None, None, None, None, None, None, None]","[10.99, 11.09, 12.0, 12.0, 10.99, 12.0, 10.99, 10.99, 10.99, 12.0, 10.99, 10.99, 10.99]","[None, 1015.7, None, None, None, None, None, None, None, None, None, None, None]","[93.6, 93.0, 100.0, 100.0, 93.6, 100.0, 93.6, 93.6, 93.6, 100.0, 93.6, 93.6, 93.6]","[1015.31, 1015.3, 1015.31, 1015.31, 1015.31, 1015.64, 1015.64, 1015.64, 1015.64, 1015.64, 1015.64, 1015.64, 1015.64]","[12.0, 12.2, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0]",,,,,,,,,,,,
2,ACTIVE,1,33,"Napa, Napa County Airport",KAPC,19.7,-122.27944,CA,False,False,38.20750,America/Los_Angeles,92,1997-04-12T00:00:00Z,2023-08-12T20:30:00Z,"['air_temp_set_1', 'relative_humidity_set_1']","['pressure_set_1d', 'air_temp_set_1', 'relative_humidity_set_1']",ft,ft,"['2023-08-12T12:50:00Z', '2023-08-12T12:54:00Z', '2023-08-12T12:55:00Z', '2023-08-12T13:00:00Z', '2023-08-12T13:05:00Z', '2023-08-12T13:10:00Z', '2023-08-12T13:15:00Z', '2023-08-12T13:20:00Z', '2023-08-12T13:25:00Z', '2023-08-12T13:30:00Z', '2023-08-12T13:35:00Z', '2023-08-12T13:40:00Z', '2023-08-12T13:45:00Z']","[None, 12.8, None, None, None, None, None, None, None, None, None, None, None]","[12.98, 12.78, 12.98, 12.98, 12.98, 12.98, 12.98, 12.98, 12.98, 12.98, 12.98, 12.98, 12.98]","[None, 1014.6, None, None, None, None, None, None, None, None, None, None, None]","[87.85, 86.7, 87.85, 87.85, 87.85, 87.85, 87.85, 87.85, 82.4, 87.85, 82.4, 87.85, 87.85]","[1015.58, 1015.58, 1015.58, 1015.58, 1015.58, 1015.58, 1015.58, 1015.58, 1015.57, 1015.92, 1015.57, 1015.92, 1015.92]","[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 16.0, 15.0, 16.0, 15.0, 15.0]",,,,,,,,,,,,
3,ACTIVE,1,112,"Marysville, Beale Air Force Base",KBAB,108.3,-121.43333,CA,False,False,39.13333,America/Los_Angeles,99,1997-04-12T00:00:00Z,2023-08-12T19:55:00Z,"['air_temp_set_1', 'relative_humidity_set_1']","['pressure_set_1d', 'air_temp_set_1', 'relative_humidity_set_1']",ft,ft,['2023-08-12T12:55:00Z'],[13.2],[13.17],[1014.4],[69.96],[1014.16],[18.8],,,,,,,,,,,,
4,ACTIVE,1,509,"Bakersfield, Meadows Field Airport",KBFL,482.3,-119.05667,CA,False,False,35.43361,America/Los_Angeles,103,1997-04-12T00:00:00Z,2023-08-12T20:30:00Z,"['air_temp_set_1', 'relative_humidity_set_1']","['pressure_set_1d', 'air_temp_set_1', 'relative_humidity_set_1']",ft,ft,"['2023-08-12T12:50:00Z', '2023-08-12T12:54:00Z', '2023-08-12T12:55:00Z', '2023-08-12T13:00:00Z', '2023-08-12T13:05:00Z', '2023-08-12T13:10:00Z', '2023-08-12T13:15:00Z', '2023-08-12T13:20:00Z', '2023-08-12T13:25:00Z', '2023-08-12T13:30:00Z', '2023-08-12T13:35:00Z', '2023-08-12T13:40:00Z', '2023-08-12T13:45:00Z']","[None, 15.6, None, None, None, None, None, None, None, None, None, None, None]","[15.98, 15.58, 15.98, 15.98, 15.98, 15.98, 15.98, 15.98, 15.98, 15.98, 15.98, 15.98, 14.98]","[None, 1013.9, None, None, None, None, None, None, None, None, None, None, None]","[68.81, 68.31, 68.81, 68.81, 68.81, 68.81, 68.81, 68.81, 68.81, 68.81, 68.81, 68.81, 64.54]","[1014.04, 1014.06, 1014.04, 1014.04, 1014.04, 1014.04, 1014.38, 1014.38, 1014.38, 1014.38, 1014.38, 1014.38, 1014.72]","[22.0, 21.7, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",,,,,,,,,,,,
5,ACTIVE,1,4121,"Bishop, Bishop Airport",KBIH,4107.6,-118.35806,CA,False,False,37.37111,America/Los_Angeles,105,1997-04-12T00:00:00Z,2023-08-12T20:30:00Z,"['air_temp_set_1', 'relative_humidity_set_1']","['pressure_set_1d', 'air_temp_set_1', 'relative_humidity_set_1']",ft,ft,"['2023-08-12T12:50:00Z', '2023-08-12T12:55:00Z', '2023-08-12T12:56:00Z', '2023-08-12T13:00:00Z', '2023-08-12T13:05:00Z', '2023-08-12T13:10:00Z', '2023-08-12T13:15:00Z', '2023-08-12T13:20:00Z', '2023-08-12T13:25:00Z', '2023-08-12T13:30:00Z', '2023-08-12T13:35:00Z', '2023-08-12T13:40:00Z', '2023-08-12T13:45:00Z']","[None, None, 10.0, None, None, None, None, None, None, None, None, None, None]","[10.97, 9.97, 9.97, 9.97, 9.97, 9.97, 9.97, 9.97, 9.97, 8.97, 9.97, 9.97, 9.97]","[None, None, 1015.4, None, None, None, None, None, None, None, None, None, None]","[82.14, 76.85, 77.35, 76.85, 76.85, 76.85, 82.01, 82.01, 82.01, 81.88, 82.01, 82.01, 82.01]","[1016.09, 1016.09, 1016.14, 1016.09, 1016.09, 1016.09, 1016.6, 1016.94, 1016.94, 1017.46, 1016.94, 1016.94, 1016.94]","[14.0, 14.0, 13.9, 14.0, 14.0, 14.0, 13.0, 13.0, 13.0, 12.0, 13.0, 13.0, 13.0]",,,,,,,,,,,,
6,ACTIVE,1,397,"Blythe, Blythe Airport",KBLH,400.3,-114.71694,CA,False,False,33.61917,America/Los_Angeles,110,1997-04-12T00:00:00Z,2023-08-12T20:30:00Z,"['air_temp_set_1', 'relative_humidity_set_1']","['pressure_set_1d', 'air_temp_set_1', 'relative_humidity_set_1']",ft,ft,"['2023-08-12T12:50:00Z', '2023-08-12T12:52:00Z', '2023-08-12T12:55:00Z', '2023-08-12T13:00:00Z', '2023-08-12T13:05:00Z', '2023-08-12T13:10:00Z', '2023-08-12T13:15:00Z', '2023-08-12T13:20:00Z', '2023-08-12T13:25:00Z', '2023-08-12T13:30:00Z', '2023-08-12T13:35:00Z', '2023-08-12T13:40:00Z', '2023-08-12T13:45:00Z']","[None, 22.2, None, None, None, None, None, None, None, None, None, None, None]","[22.01, 22.21, 22.01, 22.01, 22.01, 22.01, 23.01, 23.01, 23.01, 23.01, 23.02, 23.02, 23.02]","[None, 1010.8, None, None, None, None, None, None, None, None, None, None, None]","[69.98, 69.61, 69.98, 69.98, 69.98, 69.98, 74.36, 74.36, 74.36, 74.36, 70.17, 70.17, 70.17]","[1010.84, 1010.83, 1010.84, 1010.84, 1010.84, 1010.84, 1010.84, 1011.18, 1011.18, 1011.18, 1011.13, 1011.13, 1011.13]","[28.0, 28.3, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0, 29.0, 29.0, 29.0]",,,,,,,,,,,,
7,ACTIVE,1,5282,"Emigrant Gap, Blue Canyon Nyack Airport",KBLU,5288.7,-120.70806,CA,False,False,39.27611,America/Los_Angeles,112,1997-04-12T00:00:00Z,2023-08-12T20:30:00Z,"['air_temp_set_1', 'relative_humidity_set_1']","['pressure_set_1d', 'air_temp_set_1', 'relative_humidity_set_1']",ft,ft,"['2023-08-12T12:50:00Z', '2023-08-12T12:52:00Z', '2023-08-12T12:55:00Z', '2023-08-12T13:00:00Z', '2023-08-12T13:05:00Z', '2023-08-12T13:10:00Z', '2023-08-12T13:15:00Z', '2023-08-12T13:20:00Z', '2023-08-12T13:25:00Z', '2023-08-12T13:30:00Z', '2023-08-12T13:35:00Z', '2023-08-12T13:40:00Z', '2023-08-12T13:45:00Z']","[None, 8.9, None, None, None, None, None, None, None, None, None, None, None]","[8.95, 8.85, 8.95, 8.95, 7.94, 7.94, 7.94, 7.94, 7.94, 7.94, 7.94, 8.95, 8.95]","[None, 1014.1, None, None, None, None, None, None, None, None, None, None, None]","[63.18, 62.36, 63.18, 59.3, 55.41, 55.41, 59.05, 55.41, 55.41, 55.41, 55.41, 59.3, 59.3]","[1014.83, 1014.76, 1014.83, 1014.18, 1014.19, 1014.19, 1015.16, 1014.52, 1014.52, 1014.52, 1014.52, 1014.52, 1014.52]","[16.0, 16.1, 16.0, 17.0, 17.0, 17.0, 16.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]",,,,,,,,,,,,
8,ACTIVE,1,728,Burbank - Bob Hope Airport,KBUR,721.8,-118.36538,CA,False,False,34.19967,America/Los_Angeles,118,1997-04-12T00:00:00Z,2023-08-12T20:30:00Z,"['air_temp_set_1', 'relative_humidity_set_1']","['pressure_set_1d', 'air_temp_set_1', 'relative_humidity_set_1']",ft,ft,"['2023-08-12T12:50:00Z', '2023-08-12T12:53:00Z', '2023-08-12T12:55:00Z', '2023-08-12T13:00:00Z', '2023-08-12T13:05:00Z', '2023-08-12T13:10:00Z', '2023-08-12T13:15:00Z', '2023-08-12T13:20:00Z', '2023-08-12T13:25:00Z', '2023-08-12T13:30:00Z', '2023-08-12T13:35:00Z', '2023-08-12T13:40:00Z', '2023-08-12T13:45:00Z']","[None, 16.7, None, None, None, None, None, None, None, None, None, None, None]","[16.99, 16.69, 16.99, 16.99, 16.99, 16.99, 16.99, 16.99, 15.99, 15.99, 15.99, 15.99, 16.99]","[None, 1014.2, None, None, None, None, None, None, None, None, None, None, None]","[93.89, 90.41, 93.89, 93.89, 93.89, 88.2, 88.2, 93.89, 88.11, 88.11, 88.11, 88.11, 93.89]","[1014.81, 1014.79, 1014.81, 1014.81, 1014.81, 1015.06, 1015.06, 1015.15, 1015.15, 1015.15, 1015.15, 1015.15, 1015.49]","[18.0, 18.3, 18.0, 18.0, 18.0, 19.0, 19.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0]",,,,,,,,,,,,
9,ACTIVE,1,2349,"Fort Irwin/Barstow, Bicycle Lake Army Airfield",KBYS,2365.5,-116.61667,CA,False,False,35.28333,America/Los_Angeles,122,1997-04-12T00:00:00Z,2023-08-12T19:55:00Z,"['air_temp_set_1', 'relative_humidity_set_1']","['pressure_set_1d', 'air_temp_set_1', 'relative_humidity_set_1']",ft,ft,['2023-08-12T12:55:00Z'],[10.3],[10.27],[1011.2],[46.02],[1010.63],[22.5],,,,,,,,,,,,
