2023-08-05 09:57:34,378:__init__:C:\g\WilE
2023-08-05 09:57:34,378:__init__:beep beep settin up the tootle toot:
wile object instantiated
2023-08-05 09:57:34,378:pull_synoptic_hist:pulling synoptic timeseries data
2023-08-05 09:57:42,429:pull_synoptic_hist:start=202308010000, end=202308050957 

beginning while loop:
2023-08-05 09:57:42,429:pull_synoptic_hist:iteration start: chunk start=202308050857, chunk end=202308050957
2023-08-05 09:57:50,194:pull_synoptic_hist:iteration end: chunk start=202308050757, chunk end=202308050857
2023-08-05 09:57:50,194:pull_synoptic_hist:iteration start: chunk start=202308050757, chunk end=202308050857
2023-08-05 09:57:55,650:pull_synoptic_hist:iteration end: chunk start=202308050657, chunk end=202308050757
2023-08-05 09:57:55,650:pull_synoptic_hist:iteration start: chunk start=202308050657, chunk end=202308050757
2023-08-05 09:58:04,207:pull_synoptic_hist:iteration end: chunk start=202308050557, chunk end=202308050657
2023-08-05 09:58:04,207:pull_synoptic_hist:iteration start: chunk start=202308050557, chunk end=202308050657
2023-08-05 09:58:13,215:pull_synoptic_hist:iteration end: chunk start=202308050457, chunk end=202308050557
2023-08-05 09:58:13,215:pull_synoptic_hist:iteration start: chunk start=202308050457, chunk end=202308050557
2023-08-05 09:58:18,408:pull_synoptic_hist:iteration end: chunk start=202308050357, chunk end=202308050457
2023-08-05 09:58:18,408:pull_synoptic_hist:iteration start: chunk start=202308050357, chunk end=202308050457
2023-08-05 09:58:24,135:pull_synoptic_hist:iteration end: chunk start=202308050257, chunk end=202308050357
2023-08-05 09:58:24,135:pull_synoptic_hist:iteration start: chunk start=202308050257, chunk end=202308050357
2023-08-05 09:58:31,020:pull_synoptic_hist:iteration end: chunk start=202308050157, chunk end=202308050257
2023-08-05 09:58:31,020:pull_synoptic_hist:iteration start: chunk start=202308050157, chunk end=202308050257
2023-08-05 09:58:36,562:pull_synoptic_hist:iteration end: chunk start=202308050057, chunk end=202308050157
2023-08-05 09:58:36,562:pull_synoptic_hist:iteration start: chunk start=202308050057, chunk end=202308050157
2023-08-05 09:58:43,140:pull_synoptic_hist:iteration end: chunk start=202308042357, chunk end=202308050057
2023-08-05 09:58:43,140:pull_synoptic_hist:iteration start: chunk start=202308042357, chunk end=202308050057
2023-08-05 09:58:48,785:pull_synoptic_hist:iteration end: chunk start=202308042257, chunk end=202308042357
2023-08-05 09:58:48,785:pull_synoptic_hist:iteration start: chunk start=202308042257, chunk end=202308042357
2023-08-05 09:58:54,545:pull_synoptic_hist:iteration end: chunk start=202308042157, chunk end=202308042257
2023-08-05 09:58:54,545:pull_synoptic_hist:iteration start: chunk start=202308042157, chunk end=202308042257
2023-08-05 09:59:00,769:pull_synoptic_hist:iteration end: chunk start=202308042057, chunk end=202308042157
2023-08-05 09:59:00,769:pull_synoptic_hist:iteration start: chunk start=202308042057, chunk end=202308042157
2023-08-05 09:59:06,254:pull_synoptic_hist:iteration end: chunk start=202308041957, chunk end=202308042057
2023-08-05 09:59:06,254:pull_synoptic_hist:iteration start: chunk start=202308041957, chunk end=202308042057
2023-08-05 09:59:16,607:pull_synoptic_hist:iteration end: chunk start=202308041857, chunk end=202308041957
2023-08-05 09:59:16,607:pull_synoptic_hist:iteration start: chunk start=202308041857, chunk end=202308041957
2023-08-05 09:59:27,908:pull_synoptic_hist:iteration end: chunk start=202308041757, chunk end=202308041857
2023-08-05 09:59:27,908:pull_synoptic_hist:iteration start: chunk start=202308041757, chunk end=202308041857
2023-08-05 09:59:33,864:pull_synoptic_hist:iteration end: chunk start=202308041657, chunk end=202308041757
2023-08-05 09:59:33,864:pull_synoptic_hist:iteration start: chunk start=202308041657, chunk end=202308041757
2023-08-05 09:59:39,544:pull_synoptic_hist:iteration end: chunk start=202308041557, chunk end=202308041657
2023-08-05 09:59:39,544:pull_synoptic_hist:iteration start: chunk start=202308041557, chunk end=202308041657
2023-08-05 09:59:45,648:pull_synoptic_hist:iteration end: chunk start=202308041457, chunk end=202308041557
2023-08-05 09:59:45,648:pull_synoptic_hist:iteration start: chunk start=202308041457, chunk end=202308041557
2023-08-05 09:59:55,260:pull_synoptic_hist:iteration end: chunk start=202308041357, chunk end=202308041457
2023-08-05 09:59:55,260:pull_synoptic_hist:iteration start: chunk start=202308041357, chunk end=202308041457
2023-08-05 10:00:02,035:pull_synoptic_hist:iteration end: chunk start=202308041257, chunk end=202308041357
2023-08-05 10:00:02,035:pull_synoptic_hist:iteration start: chunk start=202308041257, chunk end=202308041357
2023-08-05 10:00:13,595:pull_synoptic_hist:iteration end: chunk start=202308041157, chunk end=202308041257
2023-08-05 10:00:13,595:pull_synoptic_hist:iteration start: chunk start=202308041157, chunk end=202308041257
2023-08-05 10:00:26,206:pull_synoptic_hist:iteration end: chunk start=202308041057, chunk end=202308041157
2023-08-05 10:00:26,206:pull_synoptic_hist:iteration start: chunk start=202308041057, chunk end=202308041157
2023-08-05 10:00:37,706:pull_synoptic_hist:iteration end: chunk start=202308040957, chunk end=202308041057
2023-08-05 10:00:37,706:pull_synoptic_hist:iteration start: chunk start=202308040957, chunk end=202308041057
2023-08-05 10:00:48,019:pull_synoptic_hist:iteration end: chunk start=202308040857, chunk end=202308040957
2023-08-05 10:00:48,019:pull_synoptic_hist:iteration start: chunk start=202308040857, chunk end=202308040957
2023-08-05 10:00:55,887:pull_synoptic_hist:iteration end: chunk start=202308040757, chunk end=202308040857
2023-08-05 10:00:55,887:pull_synoptic_hist:iteration start: chunk start=202308040757, chunk end=202308040857
2023-08-05 10:01:05,314:pull_synoptic_hist:iteration end: chunk start=202308040657, chunk end=202308040757
2023-08-05 10:01:05,314:pull_synoptic_hist:iteration start: chunk start=202308040657, chunk end=202308040757
2023-08-05 10:01:17,091:pull_synoptic_hist:iteration end: chunk start=202308040557, chunk end=202308040657
2023-08-05 10:01:17,091:pull_synoptic_hist:iteration start: chunk start=202308040557, chunk end=202308040657
2023-08-05 10:01:26,326:pull_synoptic_hist:iteration end: chunk start=202308040457, chunk end=202308040557
2023-08-05 10:01:26,326:pull_synoptic_hist:iteration start: chunk start=202308040457, chunk end=202308040557
2023-08-05 10:01:34,589:pull_synoptic_hist:iteration end: chunk start=202308040357, chunk end=202308040457
