,STATUS,MNET_ID,ELEVATION,NAME,STID,ELEV_DEM,LONGITUDE,STATE,RESTRICTED,QC_FLAGGED,LATITUDE,TIMEZONE,ID,PERIOD_OF_RECORD.start,PERIOD_OF_RECORD.end,SENSOR_VARIABLES.air_temp.air_temp_value_1.period_of_record.start,SENSOR_VARIABLES.air_temp.air_temp_value_1.period_of_record.end,SENSOR_VARIABLES.dew_point_temperature.dew_point_temperature_value_1d.derived_from,SENSOR_VARIABLES.relative_humidity.relative_humidity_value_1.period_of_record.start,SENSOR_VARIABLES.relative_humidity.relative_humidity_value_1.period_of_record.end,SENSOR_VARIABLES.sea_level_pressure.sea_level_pressure_value_1.period_of_record.start,SENSOR_VARIABLES.sea_level_pressure.sea_level_pressure_value_1.period_of_record.end,SENSOR_VARIABLES.sea_level_pressure.sea_level_pressure_value_1d.derived_from,UNITS.position,UNITS.elevation,OBSERVATIONS.dew_point_temperature_value_1d.date_time,OBSERVATIONS.dew_point_temperature_value_1d.value,OBSERVATIONS.sea_level_pressure_value_1d.date_time,OBSERVATIONS.sea_level_pressure_value_1d.value,OBSERVATIONS.air_temp_value_1.date_time,OBSERVATIONS.air_temp_value_1.value,OBSERVATIONS.sea_level_pressure_value_1.date_time,OBSERVATIONS.sea_level_pressure_value_1.value,OBSERVATIONS.relative_humidity_value_1.date_time,OBSERVATIONS.relative_humidity_value_1.value,SENSOR_VARIABLES.dew_point_temperature.dew_point_temperature_value_1.period_of_record.start,SENSOR_VARIABLES.dew_point_temperature.dew_point_temperature_value_1.period_of_record.end,OBSERVATIONS.dew_point_temperature_value_1.date_time,OBSERVATIONS.dew_point_temperature_value_1.value,SENSOR_VARIABLES.precip_accum.precip_accum_value_1.period_of_record.start,SENSOR_VARIABLES.precip_accum.precip_accum_value_1.period_of_record.end,OBSERVATIONS.precip_accum_value_1.date_time,OBSERVATIONS.precip_accum_value_1.value,SENSOR_VARIABLES.soil_temp.soil_temp_value_4.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_4.period_of_record.end,SENSOR_VARIABLES.soil_temp.soil_temp_value_1.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_1.period_of_record.end,SENSOR_VARIABLES.soil_temp.soil_temp_value_2.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_2.period_of_record.end,OBSERVATIONS.soil_temp_value_4.date_time,OBSERVATIONS.soil_temp_value_4.value,OBSERVATIONS.soil_temp_value_1.date_time,OBSERVATIONS.soil_temp_value_1.value,OBSERVATIONS.soil_temp_value_2.date_time,OBSERVATIONS.soil_temp_value_2.value,SENSOR_VARIABLES.soil_temp.soil_temp_value_3.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_3.period_of_record.end,OBSERVATIONS.soil_temp_value_3.date_time,OBSERVATIONS.soil_temp_value_3.value,SENSOR_VARIABLES.air_temp.air_temp_value_2.period_of_record.start,SENSOR_VARIABLES.air_temp.air_temp_value_2.period_of_record.end,OBSERVATIONS.air_temp_value_2.date_time,OBSERVATIONS.air_temp_value_2.value,SENSOR_VARIABLES.soil_temp.soil_temp_value_10.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_10.period_of_record.end,SENSOR_VARIABLES.soil_temp.soil_temp_value_8.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_8.period_of_record.end,SENSOR_VARIABLES.soil_temp.soil_temp_value_9.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_9.period_of_record.end,SENSOR_VARIABLES.soil_temp.soil_temp_value_5.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_5.period_of_record.end,SENSOR_VARIABLES.soil_temp.soil_temp_value_6.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_6.period_of_record.end,SENSOR_VARIABLES.soil_temp.soil_temp_value_7.period_of_record.start,SENSOR_VARIABLES.soil_temp.soil_temp_value_7.period_of_record.end,OBSERVATIONS.soil_temp_value_7.date_time,OBSERVATIONS.soil_temp_value_7.value,OBSERVATIONS.soil_temp_value_10.date_time,OBSERVATIONS.soil_temp_value_10.value,OBSERVATIONS.soil_temp_value_8.date_time,OBSERVATIONS.soil_temp_value_8.value,OBSERVATIONS.soil_temp_value_9.date_time,OBSERVATIONS.soil_temp_value_9.value,OBSERVATIONS.soil_temp_value_5.date_time,OBSERVATIONS.soil_temp_value_5.value,OBSERVATIONS.soil_temp_value_6.date_time,OBSERVATIONS.soil_temp_value_6.value
0,ACTIVE,1,4383,Alturas,KAAT,4379.9,-120.56150,CA,False,False,41.48362,America/Los_Angeles,82,1999-12-20T00:00:00Z,2023-07-31T23:40:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-08-01T00:10:00Z,-3.77,2023-08-01T00:10:00Z,1005.01,2023-08-01T00:10:00Z,32.0,2023-07-31T23:55:00Z,1014.5,2023-08-01T00:10:00Z,9.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ACTIVE,1,217,"Arcata / Eureka, Arcata Airport",KACV,180.4,-124.10861,CA,False,False,40.97806,America/Los_Angeles,84,1997-04-12T00:00:00Z,2023-07-31T23:35:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-08-01T00:10:00Z,11.96,2023-08-01T00:10:00Z,1018.19,2023-08-01T00:10:00Z,18.0,2023-07-31T23:53:00Z,1018.8,2023-08-01T00:10:00Z,67.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ACTIVE,1,33,"Napa, Napa County Airport",KAPC,19.7,-122.27944,CA,False,False,38.20750,America/Los_Angeles,92,1997-04-12T00:00:00Z,2023-07-31T23:40:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-08-01T00:10:00Z,12.98,2023-08-01T00:10:00Z,1013.51,2023-08-01T00:10:00Z,23.0,2023-07-31T23:54:00Z,1012.6,2023-08-01T00:10:00Z,53.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ACTIVE,1,112,"Marysville, Beale Air Force Base",KBAB,108.3,-121.43333,CA,False,False,39.13333,America/Los_Angeles,99,1997-04-12T00:00:00Z,2023-07-31T22:55:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-07-31T23:55:00Z,6.92,2023-07-31T23:55:00Z,1011.24,2023-07-31T23:55:00Z,35.5,2023-07-31T23:55:00Z,1011.7,2023-07-31T23:55:00Z,17.02,,,2023-07-31T23:55:00Z,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ACTIVE,1,509,"Bakersfield, Meadows Field Airport",KBFL,482.3,-119.05667,CA,False,False,35.43361,America/Los_Angeles,103,1997-04-12T00:00:00Z,2023-07-31T22:54:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-08-01T00:10:00Z,6.33,2023-08-01T00:10:00Z,1009.34,2023-08-01T00:10:00Z,39.0,2023-07-31T23:54:00Z,1010.1,2023-08-01T00:10:00Z,13.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ACTIVE,1,4121,"Bishop, Bishop Airport",KBIH,4107.6,-118.35806,CA,False,False,37.37111,America/Los_Angeles,105,1997-04-12T00:00:00Z,2023-07-31T23:40:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-08-01T00:10:00Z,4.26,2023-08-01T00:10:00Z,1000.29,2023-08-01T00:10:00Z,36.0,2023-07-31T23:56:00Z,1009.1,2023-08-01T00:10:00Z,13.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ACTIVE,1,397,"Blythe, Blythe Airport",KBLH,400.3,-114.71694,CA,False,False,33.61917,America/Los_Angeles,110,1997-04-12T00:00:00Z,2023-07-31T23:40:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-08-01T00:10:00Z,16.24,2023-08-01T00:10:00Z,1008.32,2023-08-01T00:10:00Z,39.0,2023-07-31T23:52:00Z,1008.5,2023-08-01T00:10:00Z,26.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ACTIVE,1,5282,"Emigrant Gap, Blue Canyon Nyack Airport",KBLU,5288.7,-120.70806,CA,False,False,39.27611,America/Los_Angeles,112,1997-04-12T00:00:00Z,2023-07-31T23:40:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-08-01T00:10:00Z,-0.97,2023-08-01T00:10:00Z,1009.89,2023-08-01T00:10:00Z,25.0,2023-07-31T23:52:00Z,1013.3,2023-08-01T00:10:00Z,17.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ACTIVE,1,728,Burbank - Bob Hope Airport,KBUR,721.8,-118.36538,CA,False,False,34.19967,America/Los_Angeles,118,1997-04-12T00:00:00Z,2023-07-31T22:53:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-08-01T00:10:00Z,15.12,2023-08-01T00:10:00Z,1010.4,2023-08-01T00:10:00Z,34.0,2023-07-31T23:53:00Z,1010.9,2023-08-01T00:10:00Z,32.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ACTIVE,1,2349,"Fort Irwin/Barstow, Bicycle Lake Army Airfield",KBYS,2365.5,-116.61667,CA,False,False,35.28333,America/Los_Angeles,122,1997-04-12T00:00:00Z,2023-07-31T22:55:00Z,,,"['air_temp_value_1', 'relative_humidity_value_1']",,,,,"['pressure_value_1d', 'air_temp_value_1', 'relative_humidity_value_1']",ft,ft,2023-07-31T23:55:00Z,9.09,2023-07-31T23:55:00Z,1005.88,2023-07-31T23:55:00Z,35.3,2023-07-31T23:55:00Z,1009.7,2023-07-31T23:55:00Z,19.99,,,2023-07-31T23:55:00Z,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
