,ELEVATION,LONGITUDE,QC_FLAGGED,LATITUDE,PERIOD_OF_RECORD.start,PERIOD_OF_RECORD.end,OBSERVATIONS.air_temp_value_1.date_time,OBSERVATIONS.air_temp_value_1.value,OBSERVATIONS.air_temp_value_2.date_time,OBSERVATIONS.air_temp_value_2.value,OBSERVATIONS.sea_level_pressure_value_1d.date_time,OBSERVATIONS.sea_level_pressure_value_1d.value,OBSERVATIONS.sea_level_pressure_value_1.date_time,OBSERVATIONS.sea_level_pressure_value_1.value,OBSERVATIONS.dew_point_temperature_value_1d.date_time,OBSERVATIONS.dew_point_temperature_value_1d.value,OBSERVATIONS.dew_point_temperature_value_1.date_time,OBSERVATIONS.dew_point_temperature_value_1.value,OBSERVATIONS.relative_humidity_value_1.date_time,OBSERVATIONS.relative_humidity_value_1.value
0,4383,-120.56150,False,41.48362,1999-12-20T00:00:00Z,2023-08-06T16:25:00Z,2023-08-06T17:15:00Z,20.0,,,2023-08-06T17:15:00Z,1017.72,2023-08-06T16:55:00Z,1021.4,2023-08-06T17:15:00Z,7.95,,,2023-08-06T17:15:00Z,45.93
1,217,-124.10861,False,40.97806,1997-04-12T00:00:00Z,2023-08-06T16:25:00Z,2023-08-06T17:18:00Z,15.0,,,2023-08-06T17:18:00Z,1021.66,2023-08-06T16:53:00Z,1021.9,2023-08-06T17:18:00Z,13.89,,,2023-08-06T17:18:00Z,93.14
2,33,-122.27944,False,38.20750,1997-04-12T00:00:00Z,2023-08-06T16:25:00Z,2023-08-06T17:15:00Z,22.0,,,2023-08-06T17:15:00Z,1016.22,2023-08-06T16:54:00Z,1015.2,2023-08-06T17:15:00Z,12.98,,,2023-08-06T17:15:00Z,56.7
3,112,-121.43333,False,39.13333,1997-04-12T00:00:00Z,2023-08-06T15:55:00Z,2023-08-06T16:55:00Z,28.6,,,2023-08-06T16:55:00Z,1013.69,2023-08-06T16:55:00Z,1014.1,2023-08-06T16:55:00Z,12.94,2023-08-06T16:55:00Z,12.9,2023-08-06T16:55:00Z,38.07
4,509,-119.05667,False,35.43361,1997-04-12T00:00:00Z,2023-08-06T15:54:00Z,2023-08-06T17:15:00Z,31.0,,,2023-08-06T17:15:00Z,1014.18,2023-08-06T16:54:00Z,1014.2,2023-08-06T17:15:00Z,11.08,,,2023-08-06T17:15:00Z,29.27
5,4121,-118.35806,False,37.37111,1997-04-12T00:00:00Z,2023-08-06T16:25:00Z,2023-08-06T17:15:00Z,31.0,,,2023-08-06T17:15:00Z,1008.54,2023-08-06T16:56:00Z,1014.9,2023-08-06T17:15:00Z,6.11,,,2023-08-06T17:15:00Z,20.86
6,397,-114.71694,False,33.61917,1997-04-12T00:00:00Z,2023-08-06T15:52:00Z,2023-08-06T17:15:00Z,37.0,,,2023-08-06T17:15:00Z,1010.78,2023-08-06T16:52:00Z,1011.0,2023-08-06T17:15:00Z,22.14,,,2023-08-06T17:15:00Z,42.18
7,5282,-120.70806,False,39.27611,1997-04-12T00:00:00Z,2023-08-06T16:25:00Z,2023-08-06T17:15:00Z,25.0,,,2023-08-06T17:15:00Z,1011.56,2023-08-06T16:52:00Z,1014.4,2023-08-06T17:15:00Z,6.0,,,2023-08-06T17:15:00Z,29.57
8,728,-118.36538,False,34.19967,1997-04-12T00:00:00Z,2023-08-06T15:56:00Z,2023-08-06T17:15:00Z,27.0,,,2023-08-06T17:15:00Z,1013.35,2023-08-06T16:53:00Z,1013.0,2023-08-06T17:15:00Z,15.01,,,2023-08-06T17:15:00Z,47.88
9,2349,-116.61667,False,35.28333,1997-04-12T00:00:00Z,2023-08-06T15:55:00Z,2023-08-06T16:55:00Z,30.1,,,2023-08-06T16:55:00Z,1009.58,2023-08-06T16:55:00Z,1012.0,2023-08-06T16:55:00Z,4.0,2023-08-06T16:55:00Z,3.9,2023-08-06T16:55:00Z,18.97
10,23,-122.05194,False,37.99167,1997-04-12T00:00:00Z,2023-08-06T16:25:00Z,2023-08-06T17:15:00Z,27.0,,,2023-08-06T17:15:00Z,1015.54,2023-08-06T16:53:00Z,1014.2,2023-08-06T17:15:00Z,14.01,,,2023-08-06T17:15:00Z,44.89
11,56,-124.23667,False,41.78028,1997-04-12T00:00:00Z,2023-08-06T16:25:00Z,2023-08-06T17:15:00Z,17.0,,,2023-08-06T17:15:00Z,1021.66,2023-08-06T16:51:00Z,1021.7,2023-08-06T17:15:00Z,14.99,,,2023-08-06T17:15:00Z,88.02
12,236,-121.85795,False,39.79879,1997-04-12T00:00:00Z,2023-08-06T15:47:00Z,2023-08-06T16:53:00Z,32.0,,,2023-08-06T16:53:00Z,1014.74,,,2023-08-06T16:53:00Z,11.1,2023-08-06T16:53:00Z,11.0,2023-08-06T16:53:00Z,27.66
13,75,-119.08333,False,34.21667,1999-11-14T00:00:00Z,2023-08-06T16:25:00Z,2023-08-06T17:15:00Z,24.0,,,2023-08-06T17:15:00Z,1014.14,2023-08-06T16:55:00Z,1014.5,2023-08-06T17:15:00Z,16.99,,,2023-08-06T17:15:00Z,64.98
14,650,-117.62361,False,33.97556,1997-04-12T00:00:00Z,2023-08-06T15:53:00Z,2023-08-06T17:15:00Z,29.0,,,2023-08-06T17:15:00Z,1013.34,2023-08-06T16:53:00Z,1013.9,2023-08-06T17:15:00Z,16.03,,,2023-08-06T17:15:00Z,45.44
15,179,-118.29122,False,34.02355,2000-01-10T00:00:00Z,2023-08-06T15:47:00Z,2023-08-06T16:47:00Z,26.1,,,2023-08-06T16:47:00Z,1013.97,2023-08-06T16:47:00Z,1013.9,2023-08-06T16:47:00Z,18.3,2023-08-06T16:47:00Z,18.3,2023-08-06T16:47:00Z,62.24
16,328,-117.27583,False,33.13000,1997-04-12T00:00:00Z,2023-08-06T16:25:00Z,2023-08-06T17:15:00Z,23.0,,,2023-08-06T17:15:00Z,1013.53,2023-08-06T16:53:00Z,1013.7,2023-08-06T17:15:00Z,17.99,,,2023-08-06T17:15:00Z,73.5
17,1926,-116.78667,False,34.85361,1997-01-11T00:00:00Z,2023-08-06T15:50:00Z,2023-08-06T17:15:00Z,32.0,,,2023-08-06T17:15:00Z,1010.38,2023-08-06T16:50:00Z,1011.9,2023-08-06T17:15:00Z,3.16,,,2023-08-06T17:15:00Z,15.98
18,2310,-117.87900,False,34.91800,1997-04-12T00:00:00Z,2023-08-06T15:55:00Z,2023-08-06T16:55:00Z,28.4,,,2023-08-06T16:55:00Z,1011.15,2023-08-06T16:55:00Z,1013.7,2023-08-06T16:55:00Z,6.55,2023-08-06T16:55:00Z,6.5,2023-08-06T16:55:00Z,25.07
19,890,-114.62333,False,34.76611,1997-04-12T00:00:00Z,2023-08-06T15:56:00Z,2023-08-06T17:15:00Z,39.0,,,2023-08-06T17:15:00Z,1009.82,2023-08-06T16:56:00Z,1008.7,2023-08-06T17:15:00Z,4.36,,,2023-08-06T17:15:00Z,11.67
20,20,-124.16020,False,40.80980,1999-01-30T00:00:00Z,2023-08-06T16:00:00Z,2023-08-06T17:00:00Z,14.44,,,,,,,,,,,,
21,295,-118.03333,False,34.08333,1997-04-12T00:00:00Z,2023-08-06T15:45:00Z,2023-08-06T16:45:00Z,26.0,,,2023-08-06T16:45:00Z,1013.8,,,2023-08-06T16:45:00Z,16.0,2023-08-06T16:45:00Z,16.0,2023-08-06T16:45:00Z,54.14
22,331,-119.71944,False,36.78000,1997-04-12T00:00:00Z,2023-08-06T16:25:00Z,2023-08-06T17:15:00Z,29.0,,,2023-08-06T17:15:00Z,1014.64,2023-08-06T16:53:00Z,1014.7,2023-08-06T17:15:00Z,17.03,,,2023-08-06T17:15:00Z,48.42
23,95,-117.98472,False,33.87194,1997-04-12T00:00:00Z,2023-08-06T15:53:00Z,2023-08-06T17:15:00Z,26.0,,,2023-08-06T17:15:00Z,1013.75,2023-08-06T16:53:00Z,1013.7,2023-08-06T17:15:00Z,17.0,,,2023-08-06T17:15:00Z,57.69
24,62,-118.33194,False,33.92361,1997-04-12T00:00:00Z,2023-08-06T15:53:00Z,2023-08-06T17:15:00Z,27.0,,,2023-08-06T17:15:00Z,1014.13,2023-08-06T16:53:00Z,1014.0,2023-08-06T17:15:00Z,17.01,,,2023-08-06T17:15:00Z,54.4
25,233,-119.62315,False,36.31145,1999-12-24T00:00:00Z,2023-08-06T16:25:00Z,2023-08-06T17:15:00Z,29.0,,,2023-08-06T17:15:00Z,1014.82,2023-08-06T16:53:00Z,1015.2,2023-08-06T17:15:00Z,15.04,,,2023-08-06T17:15:00Z,42.63
26,46,-122.11833,False,37.66083,1997-04-12T00:00:00Z,2023-08-06T16:25:00Z,2023-08-06T17:15:00Z,23.0,,,2023-08-06T17:15:00Z,1016.21,2023-08-06T16:54:00Z,1017.0,2023-08-06T17:15:00Z,16.99,,,2023-08-06T17:15:00Z,69.01
27,-56,-115.57861,False,32.83417,1997-04-12T00:00:00Z,2023-08-06T16:25:00Z,2023-08-06T17:15:00Z,36.0,,,2023-08-06T17:15:00Z,1010.64,2023-08-06T16:53:00Z,1010.4,2023-08-06T17:15:00Z,24.1,,,2023-08-06T17:15:00Z,50.27
28,125,-118.38889,False,33.93806,1997-04-12T00:00:00Z,2023-08-06T15:53:00Z,2023-08-06T16:53:00Z,23.3,,,2023-08-06T16:53:00Z,1014.09,2023-08-06T16:53:00Z,1014.1,2023-08-06T16:53:00Z,18.29,,,2023-08-06T16:53:00Z,73.55
29,56,-118.14639,False,33.81167,1997-04-12T00:00:00Z,2023-08-06T15:53:00Z,2023-08-06T17:15:00Z,25.0,,,2023-08-06T17:15:00Z,1014.15,2023-08-06T16:53:00Z,1014.1,2023-08-06T17:15:00Z,18.0,,,2023-08-06T17:15:00Z,65.2
30,89,-120.46667,False,34.66667,1999-11-14T00:00:00Z,2023-08-06T15:56:00Z,2022-12-19T15:56:00Z,1.1,,,2022-12-19T15:35:00Z,1024.21,2022-12-19T14:56:00Z,1023.5,2022-12-19T15:56:00Z,1.1,,,2022-12-19T15:56:00Z,100.0
31,397,-121.81444,False,37.69278,1997-04-12T00:00:00Z,2023-08-06T16:25:00Z,2023-08-06T17:15:00Z,28.0,,,2023-08-06T17:15:00Z,1015.24,2023-08-06T16:53:00Z,1015.2,2023-08-06T17:15:00Z,14.02,,,2023-08-06T17:15:00Z,42.34
32,246,-120.11064,False,36.98510,1999-12-24T00:00:00Z,2023-08-06T16:25:00Z,2023-08-06T17:15:00Z,30.0,,,2023-08-06T17:15:00Z,1014.77,2023-08-06T16:53:00Z,1014.7,2023-08-06T17:15:00Z,16.05,,,2023-08-06T17:15:00Z,42.9
33,75,-121.4,False,38.66667,1997-04-12T00:00:00Z,2023-08-06T16:15:00Z,2023-08-06T17:15:00Z,30.0,,,2023-08-06T17:15:00Z,1014.08,,,2023-08-06T17:15:00Z,12.06,2023-08-06T17:15:00Z,12.0,2023-08-06T17:15:00Z,33.11
